JADWAL PERKULIAHAN SEMESTER GENAP PRODI TEKNOLOGI INFORMASI UMY 2025/2026,,,,,,,,,,,,,
SESI,JAM,SENIN,,,,,,,,,,,
,,RKBesar/F6.001,F6.002,F6.003,F6.004,F6.101,F6.102,F6.103,F6.202,F6.203,F4.001,F4.002,F4.003
Sesi 1,07.00 - 07.50,,,,TI401 ( F ),,,,,,,,
,,,,,Pengembangan Desain Web,,,,,,,,
,,,,,Dosen : AS,,,,,,,,
,07.50 - 08.40,,,,TI401 ( F ),,,,,,,,
,,,,,Pengembangan Desain Web,,,,,,,,
,,,,,Dosen : AS,,,,,,,,
,08.40 - 08.50,Pergantian Sesi,,,,,,,,,,,
Sesi 2,08.50 - 09.40,"TI201 ( D,E )",TI203 ( A ),AS,TI401 ( F ),TI404 ( C ),,,,,TIDA04 ( A ),TI406 ( A ),TI603 ( B )
,,Matematika Teknologi Informasi 2,Pemrograman Dasar,,Pengembangan Desain Web,Keamanan Siber,,,,,Basis Data Awan,Pengujian dan Penjaminan Mutu Perangkat Lunak,Deployment Perangkat Lunak
,,Dosen : AG,Dosen : HS,,Dosen : AS,Dosen : HQ,,,,,Dosen : TA,Dosen : CO,Dosen : DP
,09.40 - 10.30,"TI201 ( D,E )",TI203 ( A ),AS,TI401 ( E ),TI404 ( C ),,,,,TIDA04 ( A ),TI406 ( A ),TI603 ( B )
,,Matematika Teknologi Informasi 2,Pemrograman Dasar,,Pengembangan Desain Web,Keamanan Siber,,,,,Basis Data Awan,Pengujian dan Penjaminan Mutu Perangkat Lunak,Deployment Perangkat Lunak
,,Dosen : AG,Dosen : HS,,Dosen : AS,Dosen : HQ,,,,,Dosen : TA,Dosen : CO,Dosen : DP
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
Sesi 3,10.40 - 11.30,"TI201 ( D,E )",TI203 ( A ),AS,TI401 ( E ),TI404 ( C ),,,,,TIDA04 ( A ),TI406 ( A ),TI603 ( B )
,,Matematika Teknologi Informasi 2,Pemrograman Dasar,,Pengembangan Desain Web,Keamanan Siber,,,,,Basis Data Awan,Pengujian dan Penjaminan Mutu Perangkat Lunak,Deployment Perangkat Lunak
,,Dosen : AG,Dosen : HS,,Dosen : AS,Dosen : HQ,,,,,Dosen : TA,Dosen : CO,Dosen : DP
11.30 - 12.20,,Istirahat/Dzuhur/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 4,12.10 - 13.10,,,,TI401 ( E ),,,,,,,,
,,,,,Pengembangan Desain Web,,,,,,,,
,,,,,Dosen : AS,,,,,,,,
,13.10 - 13.20,Pergantian sesi,,,,,,,,,,,
Sesi 5,13.20 - 14.10,"TI405 ( A,B,C )",TI203 ( D ),,,TI404 ( D ),,,,,TI406 ( F ),TI205 ( E ),TI603 ( C )
,,Interaksi Manusia Komputer,Pemrograman Dasar,,,Keamanan Siber,,,,,Pengujian dan Penjaminan Mutu Perangkat Lunak,Dasar Jaringan,Deployment Perangkat Lunak
,,Dosen : RG/AG/WS,Dosen : HS,,,Dosen : HQ,,,,,Dosen : TA,Dosen : NA,Dosen : DP
